PESEL_P;PESEL_D;IMIE_D;NAUKA
91061225626;13221925544;Anna;T
91061225626;11320994995;Mateusz;T
73050991147;99071466132;Przemys³aw;N
73050991147;95012558386;Joanna;N
73050991147;93102357525;Paulina;N
81082372788;05272374965;Anna;T
91020921123;10212539595;Miko³aj;T
68122852129;97101942146;Katarzyna;T
68122852129;96123051346;Beata;T
88081399743;08251829595;Jakub;T
88081399743;14291639124;Joanna;T
66051948348;99012745481;Marzena;T
74122659888;00233124317;Miko³aj;T
74091744929;97082822994;Andrzej;T
75050371549;99030796726;Paulina;N
75050371549;05270713669;Dominika;T
75050371549;03312466582;Zuzanna;T
71041375468;99022853527;Anna;T
89082684124;08272551862;Joanna;T
73082678629;05252127622;Dominika;T
65021659242;98030735591;Miko³aj;T
73082049322;01323053836;Krzysztof;T
94020852424;11231079257;Przemys³aw;T
94020852424;14230894669;Paulina;T
94020852424;20292458446;Milena;N
81031876264;04221346486;Zuzanna;T
80032261327;05232059167;Paulina;T
68040535423;98060682919;Przemys³aw;T
68040535423;97102935657;Jakub;T
92050551568;11210678684;Beata;T
92050551568;15301874881;Marzena;T
92050551568;17271131298;Miko³aj;N
92050551568;19241679164;Maja;N
65101715381;05323031652;Igor;T
79031479983;01301629255;Krzysztof;T
77051178767;00282881683;Julia;T
90032467685;08260528694;Krzysztof;T
78071462164;03302188984;Anna;T
78071462164;06313059829;Dominika;T
78071462164;11232326761;Beata;T
78071462164;00311295593;Andrzej;T
92070935122;17240226745;Maja;N
72051371585;03312315466;Anna;T
76041367219;00241848982;Zuzanna;N
79061824229;02271759924;Beata;T
79061824229;00230423839;Miko³aj;N
79061824229;10302517261;Katarzyna;T
92050655439;12292536143;Patrycja;T
72080753828;00290828241;Joanna;T
76111342683;99031496465;Paulina;T
66120546417;02312772257;Jakub;T
71121973827;96090328823;Marzena;T
78092349749;00241282313;Miko³aj;T
77061997899;05231766419;£ukasz;T
77061997899;09321595383;Anna;T
81081526867;04292773431;Krzysztof;T
81081526867;06240162528;Igor;T
81081526867;10321667334;Beata;T
66033068286;88122997442;Patrycja;T
66040947965;98071157293;Jakub;T
79042531928;00323098768;Beata;N
79061011449;00221366279;Andrzej;T
86051916727;04231296188;Dominika;T
69102995225;06322768525;Paulina;T
93092024368;14231071366;Anna;T
88041042128;06232618248;Karina;T
69010936662;96042868731;Adam;T
77012468883;00231184447;Paulina;T
77012468883;05290813361;Katarzyna;T
86122867671;06292772694;Igor;T
81102062864;05240893339;Przemys³aw;T
81102062864;12232291422;Marzena;T
72050238324;02241518467;Beata;T
79112633743;01232385851;Miko³aj;T
64102181487;99021094327;Milena;N
66071976385;01251836671;Mateusz;T
87022093865;04312183642;Zuzanna;T
87022093865;07291442241;Joanna;T
91090672248;13282794675;Andrzej;T
93040226583;13302649642;Maja;T
79111346688;04232666124;Anna;T
80122753385;03311113485;Patrycja;T
88123183189;08262643331;Krzysztof;T
94110891885;20301916763;Katarzyna;N
91010469134;14282634387;Paulina;T
77041947144;00272919549;Dominika;T
76062471443;03251378971;Miko³aj;T
87051056525;05272286741;Marzena;T
68122316638;96120917179;Jakub;T
79060232922;03312412361;Katarzyna;T
92111212144;11322146765;Julia;T
79100587265;03300219488;Milena;T
72071796388;01252241348;Anna;N
85022483729;09213111831;Igor;T
83072684435;01232715421;Beata;T
72040638727;04322783454;Dominik;T
72040638727;04290365113;Miko³aj;T
84121695794;03302754112;Adam;T
91042895121;14272878362;Izabella;T
94090929631;15272035788;Joanna;T
70111593759;91010725382;Patrycja;N
67092276643;97021128989;Julia;N
67092276643;96042827424;Zuzanna;T
94081919148;15290471788;Maja;T
94081919148;12262729373;Krzysztof;T
87010273765;04292039627;Joanna;T
76080889521;97113033829;Paulina;T
85012242424;07212122337;Jakub;T
73060191845;07310314793;£ukasz;T
76011014286;05262531611;Przemys³aw;T
83022787782;00242679154;Andrzej;T
