KLASA	PESEL	Biologia-R	Chemia-R	Fizyka-R	Geografia-R	Historia-R	Informatyka-R	Angielski-P	Angielski-R	Francuski-P	Francuski-R	Hiszpañski-P	Hiszpañski-R	Niemiecki-P	Niemiecki-R	Matematyka-P	Matematyka-R	Polski-P	Polski-R	WOS-R
A	95010405222	52.00						100.00	91.00		88.00					80.00		67.00		
A	95011310048	33.00	52.00					73.00								56.00		40.00		
A	95012311345	70.00	58.00					92.00								60.00		61.00		
A	95030607404	90.00	78.00					98.00	68.00							70.00		73.00		
A	95031506511	62.00	62.00					87.00								70.00		51.00		
A	95031714219	65.00	65.00					75.00								48.00		40.00		
A	95032402083		58.00					96.00	61.00							94.00	34.00	74.00		
A	95032701960	77.00	85.00					96.00								96.00		77.00		
A	95040412034	93.00	67.00					84.00								86.00		73.00		
A	95040908766	57.00	47.00					87.00								40.00		43.00		
A	95041309368	60.00						96.00	89.00							70.00		76.00		
A	95052600643				90.00			100.00	100.00					100.00		98.00	86.00	80.00		
A	95061500402	95.00	88.00					92.00								92.00		79.00		
A	95061702842	75.00	67.00					91.00								88.00		59.00		
A	95062301712	85.00	83.00	48.00				94.00								92.00		56.00		
A	95071508265	62.00	48.00					85.00								58.00		59.00		
A	95071807500	68.00	62.00					99.00	93.00							78.00		54.00		
A	95072900844	55.00	62.00					96.00	86.00							92.00		73.00		
A	95073111506	68.00	45.00					92.00								78.00		56.00		
A	95080409087	78.00						95.00	77.00							64.00		84.00		
A	95081008322	72.00	68.00					92.00								70.00		64.00		
A	95081802841	55.00	50.00					84.00								58.00		54.00		
A	95082400949	67.00	60.00					92.00								76.00		50.00		
A	95082502641	45.00	30.00					61.00								50.00		33.00		
A	95090501360	83.00	50.00					100.00	83.00							62.00		76.00		
A	95091604864	80.00						99.00	83.00							72.00		84.00		
A	95110304166	70.00	60.00					91.00								80.00		74.00		
A	95110400947			55.00				96.00	86.00							86.00		64.00		
A	95111004447	73.00	78.00					96.00								82.00		60.00		
A	95112301543	80.00	60.00					88.00	67.00							80.00		63.00		
A	95120101108	93.00	88.00					100.00	76.00							92.00		76.00		
A	95120600768	85.00	93.00	82.00				96.00								94.00	74.00	66.00		
A	95120903939	90.00	82.00					92.00								86.00		63.00		
A	95122401008	87.00						100.00								82.00		79.00	73.00	64.00
B	95011505013							93.00	60.00							46.00		60.00	75.00	
B	95012403389							96.00	87.00							50.00		40.00	70.00	44.00
B	95020804428					92.00		100.00	81.00							88.00		57.00	70.00	
B	95021807901					86.00		100.00	90.00							70.00		56.00	68.00	78.00
B	95022105039					90.00		96.00	93.00							86.00	36.00	53.00	73.00	100.00
B	95031012300							59.00	44.00							34.00		30.00	53.00	34.00
B	95032101746					88.00		98.00	95.00						69.00	68.00		70.00	80.00	72.00
B	95032204296					92.00		93.00	95.00							56.00		79.00	55.00	72.00
B	95042205755					94.00		90.00	67.00							40.00		80.00	60.00	
B	95050205185					66.00		98.00	67.00							50.00		54.00	80.00	68.00
B	95050904503							100.00	92.00							70.00		63.00	45.00	
B	95051201982							96.00	63.00							64.00		63.00	58.00	48.00
B	95052501302							96.00	69.00							68.00		51.00	70.00	38.00
B	95060201793	73.00	65.00					80.00								52.00		56.00		
B	95062400343	50.00	47.00					92.00								58.00		51.00		
B	95070400070					92.00		92.00	59.00							72.00		41.00	60.00	68.00
B	95080101408	73.00						97.00	74.00							56.00		60.00	73.00	
B	95080902016					80.00		97.00	83.00							44.00		66.00	63.00	
B	95081001141	35.00						96.00	84.00							32.00		51.00	63.00	
B	95081600739				47.00			86.00	60.00							66.00		34.00	58.00	58.00
B	95083106189					42.00		66.00								64.00		56.00	75.00	
B	95092111585					76.00		97.00	78.00							72.00		60.00	80.00	
B	95092712281					80.00		78.00	34.00							52.00		46.00	80.00	62.00
B	95100600025							65.00								50.00		43.00	78.00	24.00
B	95100606458					88.00		96.00	92.00							58.00		59.00	53.00	72.00
B	95100700282					76.00		100.00	90.00					100.00		78.00		66.00	75.00	
B	95101000947					96.00		98.00	91.00							72.00		69.00	85.00	
B	95110605809					76.00		99.00	84.00	78.00						70.00		53.00	73.00	
B	95110704362	48.00	17.00					100.00	92.00							60.00		47.00		
B	95111800425					80.00		98.00	79.00							66.00		66.00	63.00	60.00
B	95112902461							94.00	66.00							76.00	24.00	44.00	40.00	
C	94120209724							95.00	70.00			51.00				76.00	52.00	49.00		
C	95011303864				42.00			52.00								76.00	40.00	36.00		
C	95012701920				77.00			92.00	80.00	68.00						66.00	44.00	54.00		
C	95012707551				55.00			88.00								72.00	42.00	49.00		
C	95021105139				85.00			100.00	81.00			94.00				94.00	52.00	71.00		
C	95021201255				68.00			84.00								52.00	14.00	34.00		
C	95021303223				60.00			92.00								70.00	32.00	63.00		
C	95030407844				70.00			94.00	84.00						90.00	88.00	56.00	64.00		
C	95040309147				38.00			51.00								48.00		49.00		
C	95040502267				83.00				93.00					96.00		72.00	64.00	57.00		
C	95040601874				93.00			98.00	80.00	80.00						78.00	64.00	63.00		
C	95062703248				63.00			88.00								64.00		63.00	43.00	
C	95062704850				65.00			69.00								52.00		51.00		
C	95070400629				50.00			82.00								68.00	36.00	47.00		
C	95070600715				53.00			100.00	77.00							82.00	38.00	53.00		46.00
C	95071306764							98.00	81.00							88.00	40.00	59.00		
C	95071307406				70.00			96.00	51.00							76.00		66.00	95.00	
C	95072805323				68.00			87.00	55.00							86.00	48.00	63.00	55.00	
C	95072901340							91.00	66.00							100.00	66.00	76.00	70.00	
C	95072901364							100.00	92.00	72.00						74.00	52.00	54.00		
C	95082206507				87.00			98.00								96.00	90.00	91.00		
C	95091103271				47.00			89.00								76.00	40.00	54.00		
C	95092301371							94.00	88.00							88.00	46.00	77.00		
C	95100703063				68.00			94.00	78.00					96.00		100.00	54.00	50.00		
C	95102509322				77.00			72.00	44.00							78.00	40.00	60.00		
C	95121002200				80.00			100.00	82.00					100.00		86.00	94.00	63.00		
C	96010806327				82.00			94.00	61.00							68.00		71.00		
E	95010400678			70.00				94.00	73.00							90.00	70.00	59.00		
E	95012402890			53.00				96.00	67.00							90.00	40.00	64.00		
E	95012801194			75.00			78.00	98.00	96.00							100.00	90.00	80.00		
E	95012904927			82.00				100.00	91.00							86.00	80.00	84.00		
E	95020904777			32.00				96.00	74.00							82.00		60.00	25.00	
E	95021601338			77.00			88.00	98.00	76.00							98.00	68.00	73.00		
E	95032801943			70.00				97.00	65.00							94.00	78.00	76.00		
E	95032801950			32.00				95.00	75.00							72.00	58.00	54.00		
E	95040804338	37.00		37.00				96.00	84.00							86.00		53.00		
E	95050803734			75.00				98.00	94.00							84.00	82.00	56.00		
E	95052200645			92.00				98.00	86.00							94.00	88.00	77.00		
E	95052901713				45.00			100.00	80.00							78.00	36.00	30.00		
E	95060303600							100.00	94.00	99.00						80.00	74.00	74.00		
E	95060705327							98.00	78.00							64.00		54.00		
E	95060913018			72.00				98.00	79.00							100.00	78.00	64.00		
E	95072510054			62.00				100.00	75.00							92.00	38.00	74.00		
E	95080407818						70.00	98.00	79.00							94.00	62.00	59.00		
E	95080805098			48.00				84.00	28.00							88.00	68.00	51.00		
E	95081600791			62.00				98.00	79.00							100.00	66.00	51.00		
E	95082906797			67.00				100.00	85.00							92.00	70.00	63.00		
E	95083100398			67.00				100.00	78.00							98.00	68.00	63.00		
E	95091803737						98.00	99.00	84.00							96.00	92.00	66.00		
E	95100400649							96.00	86.00							94.00	60.00	57.00		
E	95101104184			55.00				97.00	92.00							94.00	78.00	63.00		
E	95101303842			78.00				98.00	85.00							100.00	92.00	70.00		
E	95101902775						52.00	96.00	68.00							94.00	56.00	57.00		
E	95102002757			70.00				100.00	86.00							98.00	78.00	90.00		
E	95102301894			32.00				96.00	78.00							90.00	74.00	74.00		
E	95112306692			75.00				100.00	64.00							92.00	74.00	70.00		
E	95112702337			63.00				96.00								96.00	92.00	67.00		
E	95122110962							98.00	65.00							94.00	68.00	81.00		
E	95123001771							98.00	84.00							82.00	54.00	73.00		
E	96011200502			77.00				94.00	86.00							98.00	64.00	59.00		
