PESEL_P;RODZAJ_UMOWY;KWOTA_WYN;DATA
91061225626;Z;3500;2020-12-30
73050991147;N;5000;
71071475987;N;5000;
81082372788;N;5060;
91020921123;P;5060;2020-12-12
68122852129;N;12000;
88081399743;N;7300;
66051948348;N;7300;
74122659888;N;4900;
67070765149;N;4900;
74091744929;N;3700;
75050371549;N;3800;
71041375468;N;5200;
89082684124;P;5200;2020-12-01
73082678629;N;8300;
65021659242;N;8300;
73082049322;N;5700;
94020852424;P;4500;2021-01-01
81031876264;D;4000;2020-12-30
80032261327;Z;3500;2020-12-30
68040535423;Z;3500;2020-12-30
92050551568;Z;5000;2020-12-30
65101715381;N;6000;
79031479983;N;6000;
77051178767;N;6000;
90032467685;P;2700;2020-11-30
78071462164;N;9000;
92070935122;D;3500;2020-12-30
72051371585;Z;4000;2020-12-30
76041367219;N;3500;
94062649945;N;3500;
79061824229;D;2000;2020-12-30
92050655439;N;3500;
72080753828;P;4300;2020-12-30
76111342683;P;4300;2020-12-30
66120546417;P;4300;2020-11-30
71121973827;N;7200;
78092349749;D;3500;2020-12-30
77061997899;D;3700;2020-12-30
81081526867;Z;4500;2020-12-30
66033068286;P;3500;2021-01-30
66040947965;N;5200;
79042531928;N;5200;
79061011449;P;6400;2020-12-01
86051916727;N;9300;
69102995225;N;7400;
93092024368;N;3300;
88041042128;N;3300;
69010936662;N;3000;
94042424863;N;7500;
94032343945;N;4500;
77012468883;N;4500;
86122867671;P;3000;2020-11-30
81102062864;N;4500;
72050238324;P;3000;2020-12-30
79112633743;P;3500;2020-12-30
64102181487;N;10000;
66071976385;N;12000;
87022093865;Z;6300;2020-12-30
91090672248;Z;3500;2020-12-30
93040226583;P;3400;2020-12-01
79111346688;D;3400;2020-12-30
80122753385;D;3700;2020-12-30
88123183189;D;4100;2020-12-30
94110891885;N;3500;
91010469134;N;3800;
77041947144;N;6300;
76062471443;N;18000;
87051056525;Z;6400;2020-12-30
68122316638;P;3400;2020-11-30
79060232922;P;4300;2020-11-30
92111212144;N;3500;
79100587265;N;3600;
79100587265;D;3000;2020-12-30
72071796388;N;3200;
85022483729;N;3200;
83072684435;N;3200;
72040638727;N;6000;
84121695794;N;6200;
91042895121;N;15000;
94090929631;N;6300;
70111593759;N;6300;
67092276643;N;6300;
94081919148;N;6300;
87010273765;N;6300;
76080889521;N;6300;
84092685688;N;4000;
85012242424;Z;3900;2020-12-30
73060191845;Z;3900;2020-12-30
76011014286;Z;3900;2020-12-30
83022787782;Z;3900;2020-12-30
85110491427;P;3900;2020-12-30
93030467664;D;3900;2020-12-30
65080726169;N;3400;
68030911338;N;3500;
92101745348;N;3500;
85082776283;N;3500;
73121291246;N;3500;
82102325269;N;3500;
79032233171;N;3500;
69041664769;N;3500;
64011396167;N;3500;
70051687383;N;7000;
90031054682;Z;2000;2020-12-30
67092123228;D;3400;2020-12-30
67092123228;D;3400;2020-12-30
67092123228;D;3500;2020-12-30
67092123228;N;7000;
84062649946;N;6300;
65030393782;D;3500;2020-12-30
77051656467;P;3500;2020-12-01
88050113822;Z;4000;2020-12-30
75041965137;D;4000;2020-12-30
67122333566;N;2900;
84120881631;Z;3500;2020-12-30
84090389287;P;3100;2020-12-30
66082687425;N;4100;
67053192988;N;4100;
74061069461;N;4100;
74050288521;P;2500;2020-11-30
76111842954;P;2500;2020-12-01
80021874684;P;2500;2020-12-01
88051446626;Z;2500;2020-12-30
79121152547;Z;2500;2020-12-30
66031123721;Z;3400;2020-12-30
77122896424;Z;3400;2020-12-30
67011446399;N;2800;
65060244326;N;3800;
84011644183;N;3800;
65021721426;N;15000;
65021721426;D;3800;2020-12-30
65021721426;D;2500;2020-12-30
67090211468;N;3700;
80060926195;N;3700;
80041228744;N;4200;
64121164869;N;4000;
88050313246;N;3600;
80031587529;N;3800;
77111611469;N;4500;
67091485145;N;4500;
78090652281;N;3700;
77080322924;N;3700;
74060118494;N;3700;
87071998876;N;6400;
78072681674;N;4200;
75051168432;N;5700;
66050395578;N;5700;
90062397918;N;5700;
93021428159;N;3500;
93011186665;N;3500;
68123062361;N;3500;
72100517654;N;4200;
83090958978;N;4200;
76100196251;N;4200;
74010384162;N;3600;
93100857843;N;3600;
81080247826;N;7500;
81080247826;D;3400;2020-12-01
81080247826;D;3400;2020-12-01
66042334187;N;6000;
79051931478;N;6500;
75110367282;N;3800;
68010622162;N;3800;
68080915726;N;3800;
64101677981;P;3700;2020-11-30
66022214236;D;3500;2020-12-30
64062337188;D;3500;2020-12-30
90090646383;D;4200;2020-12-30
64010166813;Z;3500;2020-12-30
76012549178;Z;4200;2020-12-30
72090457228;Z;4200;2020-12-30
69021199278;Z;4200;2020-12-30
64102354751;Z;3400;2020-12-30
85080211379;Z;3400;2020-12-30
78102768418;P;3400;2020-12-30
68082254924;N;3500;
67032597584;N;3500;
68030147122;N;4300;
88091649375;N;4300;
75090255162;N;4300;
67031265446;N;4300;
65102791885;N;5000;
75011089285;N;5000;
74020126323;N;5300;
94081291565;N;5300;
67062989362;N;5300;
69111812346;N;5300;
82012842746;N;3700;
74032584869;N;3700;
76101444674;N;3700;
78070765787;N;3700;
81101732186;N;4200;
83010471745;N;4200;
94052845449;P;3600;2020-12-30
84103192679;P;3600;2020-12-01
64051532682;P;3600;2020-12-01
93011944186;Z;5200;2020-12-30
70041159823;P;3600;2021-01-30
92051999978;N;4500;
72061248792;D;3500;2020-12-30
85061297949;D;3500;2020-12-30
78061564322;D;3500;2020-12-30
94112537835;D;3500;2020-12-30
91031593845;D;3500;2020-12-30
94032129569;N;4200;
70070946544;N;4200;
78030949921;N;4200;
69122313588;N;4200;
85030775616;N;4200;
73102438826;N;3600;
66081333525;P;3700;2020-12-30
83020615821;P;3700;2020-12-30
81042942848;P;3700;2020-12-01
66022751346;Z;3300;2020-12-30
84100192894;Z;3300;2020-12-30
84102722244;D;3500;2020-12-30
85091465341;N;3900;
71010364882;N;3900;
67071678963;N;6300;
86042099347;N;3400;
78010753526;Z;3400;2020-12-30
84061519989;Z;2200;2020-12-30
67101697322;Z;2200;2020-12-30
89112165823;P;3200;2021-03-30
94111634588;P;3200;2020-12-01
69093025752;P;3200;2020-12-30
75091174374;N;3700;
81060448546;N;3700;
74071761968;P;3700;2020-12-01
68042496188;Z;4500;2020-12-30
86083064322;D;4500;2020-12-30
92111321761;N;4500;
92071567193;P;3500;2020-12-01
71120432349;Z;3700;2020-12-30
73080242468;Z;3700;2020-12-30
71063076512;Z;3700;2020-12-30
90040645127;Z;3700;2020-12-30
92112346679;P;4500;2020-12-30
86011953913;P;4500;2020-11-30
64062339869;P;4200;2020-12-30
64020335955;P;3700;2020-12-30
68120516849;P;3700;2020-12-01
76020348763;P;3700;2020-12-01
87110451146;P;3700;2020-12-01
74012748689;P;4400;2020-12-01
93061029583;Z;3900;2020-12-30
92012733685;Z;3900;2020-12-30
