Data	Godzina_rozp	Godzina_zak	ID_aktywnosci	PESEL
01/07/2018	17:00:00	17:45:00	17	01301144688
01/07/2018	20:00:00	21:15:00	22	84061632305
01/07/2018	16:00:00	16:45:00	16	82092387166
01/07/2018	20:00:00	21:00:00	10	92052540982
01/07/2018	19:45:00	21:45:00	12	88032884997
01/07/2018	19:30:00	20:20:00	19	96021654296
01/07/2018	19:00:00	20:30:00	2	94110383957
01/07/2018	20:00:00	21:15:00	22	79052922062
01/07/2018	19:00:00	20:30:00	2	76021661410
01/07/2018	18:45:00	19:30:00	5	80091255745
01/07/2018	20:00:00	21:00:00	24	87062750948
01/07/2018	18:45:00	19:45:00	11	85040186862
01/07/2018	20:30:00	22:30:00	15	99120927319
01/07/2018	18:45:00	19:35:00	19	95122362499
02/07/2018	19:30:00	20:30:00	5	89110296013
02/07/2018	16:00:00	17:30:00	6	81072675910
02/07/2018	16:00:00	17:00:00	21	84080419800
02/07/2018	19:00:00	19:45:00	8	89051965791
02/07/2018	19:00:00	21:30:00	14	95110862679
02/07/2018	18:00:00	19:00:00	21	92112377396
02/07/2018	20:15:00	21:15:00	10	65081474702
02/07/2018	18:45:00	19:45:00	4	95111093160
02/07/2018	20:30:00	22:30:00	15	63030872779
02/07/2018	19:45:00	20:45:00	26	82092387166
02/07/2018	19:00:00	21:00:00	15	96091727423
02/07/2018	18:00:00	20:00:00	12	92090866233
02/07/2018	16:00:00	17:30:00	20	94112589931
02/07/2018	16:00:00	16:45:00	8	80063050611
02/07/2018	20:30:00	21:20:00	19	77102111394
03/07/2018	20:00:00	21:00:00	21	86061622153
03/07/2018	20:00:00	21:30:00	20	84061632305
03/07/2018	19:45:00	20:45:00	10	73042042642
03/07/2018	20:30:00	22:30:00	9	81111358204
03/07/2018	17:00:00	17:45:00	8	89051965791
03/07/2018	18:45:00	19:15:00	1	89061122722
03/07/2018	16:00:00	18:00:00	15	74060969953
03/07/2018	17:30:00	18:30:00	21	80111769711
03/07/2018	18:45:00	19:35:00	19	89011284779
03/07/2018	16:00:00	17:00:00	11	96081099358
03/07/2018	20:30:00	22:00:00	20	87121110791
04/07/2018	20:00:00	20:45:00	8	78033117532
04/07/2018	19:00:00	20:00:00	21	99121573571
04/07/2018	17:00:00	19:00:00	15	71111293212
04/07/2018	17:15:00	19:15:00	9	00211486684
04/07/2018	16:00:00	18:00:00	12	81071092233
04/07/2018	20:30:00	22:30:00	12	78012267960
04/07/2018	19:00:00	20:00:00	26	65081474702
04/07/2018	19:30:00	20:15:00	13	89072858597
04/07/2018	18:45:00	19:30:00	5	01271948491
04/07/2018	20:00:00	22:30:00	14	93111321638
04/07/2018	20:30:00	21:20:00	19	81041832832
04/07/2018	19:45:00	20:45:00	24	61120859464
04/07/2018	20:30:00	22:30:00	15	88020643885
05/07/2018	20:00:00	21:30:00	20	97062640145
05/07/2018	17:15:00	18:15:00	4	60042129602
05/07/2018	18:45:00	21:15:00	14	81030746177
05/07/2018	18:45:00	19:30:00	25	83061750156
05/07/2018	18:45:00	19:55:00	23	82111668069
05/07/2018	20:00:00	21:00:00	4	79052922062
05/07/2018	20:30:00	21:15:00	25	63030872779
05/07/2018	20:00:00	20:45:00	13	89110296013
05/07/2018	20:00:00	20:30:00	1	89052322441
05/07/2018	18:45:00	19:45:00	5	81123072981
05/07/2018	19:00:00	19:45:00	13	83041762623
05/07/2018	17:00:00	18:00:00	11	89072858597
05/07/2018	20:00:00	21:00:00	4	85080910544
05/07/2018	20:00:00	21:00:00	5	60042129602
05/07/2018	19:45:00	22:15:00	14	78102259510
05/07/2018	19:30:00	21:30:00	9	75071778477
06/07/2018	19:00:00	20:00:00	11	89073075463
06/07/2018	18:45:00	19:30:00	3	96121059001
06/07/2018	20:00:00	21:00:00	26	84080419800
06/07/2018	16:00:00	16:45:00	17	80052442601
06/07/2018	16:00:00	17:30:00	6	91050832765
06/07/2018	16:00:00	18:30:00	14	74060969953
06/07/2018	20:30:00	21:00:00	1	82011292429
06/07/2018	17:00:00	18:30:00	2	96042743290
06/07/2018	17:00:00	18:15:00	22	67101888089
06/07/2018	16:00:00	18:00:00	15	76071328228
06/07/2018	21:45:00	22:30:00	13	65081474702
06/07/2018	20:00:00	21:10:00	23	82092143609
06/07/2018	17:00:00	17:45:00	16	99121573571
07/07/2018	18:45:00	19:30:00	13	86021379938
07/07/2018	16:00:00	17:00:00	10	75040642244
07/07/2018	18:45:00	20:45:00	9	78102259510
07/07/2018	16:00:00	18:00:00	15	82011292429
07/07/2018	16:15:00	17:15:00	10	91052873780
07/07/2018	20:00:00	20:45:00	16	96041655459
07/07/2018	20:00:00	21:30:00	20	97052873850
07/07/2018	19:30:00	20:40:00	23	78061949367
07/07/2018	16:00:00	17:00:00	5	73033059121
07/07/2018	18:45:00	21:15:00	14	60042129602
07/07/2018	20:00:00	21:00:00	5	89110296013
07/07/2018	19:00:00	20:30:00	20	79041379857
07/07/2018	19:00:00	20:00:00	21	80121119944
07/07/2018	20:00:00	22:00:00	15	77021449064
08/07/2018	20:00:00	21:00:00	10	92101975525
08/07/2018	17:00:00	18:00:00	4	79052922062
08/07/2018	20:30:00	21:20:00	19	99121573571
08/07/2018	20:15:00	22:15:00	9	80121119944
08/07/2018	18:00:00	19:00:00	7	76082244612
08/07/2018	20:30:00	21:20:00	19	95091183893
08/07/2018	16:00:00	17:00:00	7	93102278884
08/07/2018	20:00:00	20:45:00	13	70080914919
09/07/2018	20:00:00	21:00:00	10	60042129602
09/07/2018	18:45:00	20:15:00	6	01301144688
09/07/2018	18:45:00	19:45:00	21	83040314845
09/07/2018	20:00:00	22:00:00	9	77022270175
09/07/2018	16:00:00	18:30:00	14	68010634532
09/07/2018	20:00:00	21:00:00	24	96050556875
09/07/2018	16:00:00	17:00:00	24	75071778477
09/07/2018	16:00:00	17:30:00	20	79041379857
10/07/2018	16:00:00	18:30:00	14	82040646116
10/07/2018	20:00:00	20:45:00	13	90071048687
10/07/2018	20:30:00	21:40:00	23	80121119944
10/07/2018	19:30:00	20:15:00	3	98052514170
10/07/2018	16:00:00	16:45:00	13	82091425966
10/07/2018	17:15:00	18:00:00	5	95091183893
10/07/2018	20:30:00	22:30:00	15	84031414595
10/07/2018	18:00:00	19:10:00	23	73033059121
10/07/2018	16:00:00	17:00:00	26	94100739689
10/07/2018	20:30:00	21:30:00	11	83040314845
10/07/2018	17:00:00	18:30:00	20	75071778477
10/07/2018	18:45:00	20:45:00	12	67101888089
10/07/2018	20:30:00	22:30:00	12	80111769711
11/07/2018	16:00:00	16:45:00	8	75040642244
11/07/2018	19:00:00	21:00:00	9	72092468930
11/07/2018	16:00:00	17:30:00	6	79041379857
11/07/2018	18:45:00	20:45:00	15	78061949367
12/07/2018	16:00:00	16:45:00	3	81061911438
12/07/2018	20:30:00	21:15:00	5	80111769711
12/07/2018	16:00:00	17:00:00	24	00312447739
12/07/2018	16:15:00	17:45:00	7	90071048687
12/07/2018	20:30:00	22:30:00	9	91091521428
12/07/2018	19:00:00	19:45:00	16	96121059001
12/07/2018	18:45:00	19:45:00	11	81123072981
12/07/2018	17:00:00	17:45:00	16	96081099358
12/07/2018	16:00:00	16:45:00	16	79052922062
12/07/2018	16:00:00	17:30:00	2	86021379938
12/07/2018	20:00:00	20:45:00	5	82121356705
12/07/2018	18:45:00	20:15:00	2	81061911438
12/07/2018	20:30:00	22:00:00	20	89051965791
12/07/2018	20:00:00	21:00:00	4	85022769263
13/07/2018	16:00:00	17:30:00	20	77102111394
13/07/2018	16:00:00	18:30:00	14	83040232798
13/07/2018	19:45:00	20:30:00	3	65081474702
13/07/2018	18:45:00	19:30:00	8	71111293212
13/07/2018	16:00:00	17:30:00	20	85030615390
13/07/2018	19:45:00	22:15:00	14	85081541903
13/07/2018	18:45:00	19:30:00	25	98061785789
13/07/2018	19:00:00	21:30:00	14	92041895143
13/07/2018	19:45:00	21:45:00	12	78061949367
13/07/2018	19:00:00	19:45:00	13	88032884997
13/07/2018	20:00:00	21:00:00	4	87062750948
13/07/2018	17:30:00	19:30:00	15	83030713018
13/07/2018	16:30:00	17:20:00	19	69120818917
13/07/2018	20:30:00	21:15:00	16	63030872779
13/07/2018	19:00:00	21:00:00	15	83061750156
14/07/2018	18:45:00	19:30:00	17	99071947484
14/07/2018	18:45:00	21:15:00	14	84061632305
14/07/2018	20:00:00	20:50:00	19	88041490754
14/07/2018	20:30:00	21:40:00	23	95013062448
14/07/2018	17:15:00	18:15:00	7	70021574202
14/07/2018	20:00:00	21:15:00	22	86030715967
14/07/2018	16:45:00	17:45:00	21	88081454071
14/07/2018	20:00:00	22:00:00	15	90081986803
14/07/2018	19:00:00	20:30:00	6	91091521428
14/07/2018	20:00:00	21:10:00	23	96091727423
14/07/2018	18:45:00	20:15:00	7	87042098442
14/07/2018	17:00:00	18:30:00	20	66022017983
14/07/2018	19:00:00	20:00:00	5	80063050611
14/07/2018	18:45:00	19:45:00	7	89021968180
14/07/2018	17:00:00	18:30:00	6	87121110791
14/07/2018	20:00:00	21:00:00	10	79052162464
14/07/2018	16:00:00	17:00:00	24	81123072981
14/07/2018	19:00:00	21:00:00	12	66022017983
15/07/2018	19:30:00	20:30:00	10	82092387166
15/07/2018	17:30:00	18:15:00	16	82040646116
15/07/2018	20:30:00	21:15:00	3	92110661765
15/07/2018	16:00:00	18:00:00	9	93030113251
15/07/2018	17:00:00	19:00:00	9	88081454071
15/07/2018	16:15:00	17:15:00	11	91022421942
15/07/2018	17:15:00	18:00:00	25	73042042642
15/07/2018	16:30:00	17:30:00	7	71111293212
15/07/2018	18:45:00	19:45:00	10	89021968180
15/07/2018	20:00:00	20:45:00	13	82053154042
15/07/2018	17:30:00	19:30:00	15	87090865078
15/07/2018	20:00:00	21:15:00	22	01230712857
15/07/2018	17:00:00	19:00:00	15	95111093160
15/07/2018	17:00:00	18:30:00	7	91050832765
15/07/2018	16:00:00	16:45:00	3	81120464998
15/07/2018	20:00:00	20:45:00	3	98061785789
16/07/2018	20:00:00	20:45:00	16	95111093160
16/07/2018	20:30:00	21:30:00	11	92010762609
16/07/2018	20:30:00	22:30:00	15	75071778477
16/07/2018	20:30:00	21:15:00	8	89021968180
16/07/2018	20:30:00	22:30:00	9	87121110791
16/07/2018	20:15:00	21:00:00	8	80111769711
16/07/2018	20:00:00	20:45:00	16	76021661410
16/07/2018	20:30:00	22:30:00	9	84032612756
16/07/2018	18:45:00	21:15:00	14	86112727558
16/07/2018	20:30:00	22:00:00	20	73042042642
16/07/2018	20:30:00	23:00:00	14	74060969953
16/07/2018	20:00:00	20:45:00	13	89011284779
16/07/2018	19:00:00	19:45:00	16	88041889574
16/07/2018	19:00:00	21:00:00	15	83040232798
17/07/2018	20:00:00	22:30:00	14	96021654296
17/07/2018	20:00:00	21:00:00	24	85061169747
17/07/2018	20:00:00	21:00:00	10	84080419800
17/07/2018	20:15:00	21:15:00	7	94082877603
17/07/2018	20:30:00	21:15:00	5	01271948491
17/07/2018	17:00:00	18:00:00	26	88032151088
17/07/2018	18:45:00	19:45:00	26	87042098442
17/07/2018	18:45:00	19:45:00	7	91103111832
17/07/2018	17:00:00	17:30:00	1	89052322441
17/07/2018	19:30:00	21:30:00	15	74090680952
17/07/2018	18:45:00	21:15:00	14	87062086333
17/07/2018	20:00:00	22:00:00	12	87090865078
17/07/2018	20:30:00	21:15:00	25	92090866233
17/07/2018	20:15:00	21:00:00	8	74060969953
18/07/2018	20:00:00	22:30:00	14	82092387166
18/07/2018	19:00:00	21:00:00	15	77070796384
18/07/2018	20:00:00	22:00:00	15	00252960031
18/07/2018	16:00:00	17:00:00	26	73042042642
18/07/2018	19:00:00	20:15:00	22	88041490754
18/07/2018	17:00:00	18:00:00	18	90081986803
18/07/2018	19:30:00	20:30:00	21	90120447577
18/07/2018	16:30:00	17:30:00	18	88032151088
18/07/2018	20:30:00	21:30:00	24	91091521428
18/07/2018	19:30:00	20:30:00	21	93081880566
18/07/2018	16:00:00	17:30:00	6	84062618311
18/07/2018	17:00:00	17:30:00	1	98010881962
18/07/2018	19:00:00	21:30:00	14	93030113251
18/07/2018	20:30:00	22:30:00	15	76021661410
19/07/2018	19:30:00	20:20:00	19	90120447577
19/07/2018	19:00:00	20:00:00	11	87062750948
19/07/2018	16:00:00	18:30:00	14	86052090714
19/07/2018	18:45:00	19:30:00	8	92101975525
19/07/2018	16:00:00	17:15:00	22	98010996356
19/07/2018	18:45:00	21:15:00	14	83040314845
19/07/2018	16:00:00	17:15:00	22	74090680952
19/07/2018	20:00:00	22:30:00	14	93111772717
19/07/2018	16:00:00	16:45:00	16	94112589931
19/07/2018	20:30:00	21:15:00	17	67101888089
20/07/2018	19:00:00	19:45:00	5	75020256913
20/07/2018	20:00:00	20:30:00	1	84111592168
20/07/2018	20:00:00	22:30:00	14	78033117532
20/07/2018	20:00:00	20:45:00	13	92112377396
20/07/2018	16:30:00	17:15:00	8	85030615390
20/07/2018	20:30:00	21:15:00	3	97080131708
20/07/2018	20:00:00	22:00:00	15	74091264258
20/07/2018	20:00:00	22:00:00	9	83030713018
20/07/2018	19:45:00	21:15:00	20	75111867316
20/07/2018	17:00:00	17:45:00	17	64061372360
20/07/2018	20:00:00	20:45:00	13	89061122722
20/07/2018	17:15:00	18:00:00	25	74090680952
20/07/2018	20:30:00	21:45:00	22	74091264258
20/07/2018	18:45:00	19:30:00	25	98010881962
21/07/2018	16:15:00	17:15:00	26	82011292429
